Date_UTC,MLT,MLAT,GLON,GLAT
2000-01-01 01:25:00,0.81,64.85,338.30,64.18
2000-01-01 02:14:00,0.13,66.08,314.56,61.16
2000-01-01 02:40:00,19.81,71.27,265.95,61.11
2000-01-01 05:53:00,23.36,66.78,265.36,56.38
2000-01-01 06:15:00,23.77,66.78,265.36,56.38
2000-01-01 07:48:00,23.85,77.24,254.97,69.12
2000-01-01 08:27:00,2.03,66.78,265.36,56.38
2000-01-01 09:05:00,21.25,70.28,203.38,71.32
2000-01-01 11:49:00,0.93,65.29,212.14,64.87
2000-01-01 12:13:00,1.37,65.29,212.14,64.87
2000-01-01 16:49:00,22.44,68.69,80.70,73.53
2000-01-01 17:18:00,22.85,68.69,80.70,73.53
2000-01-01 18:22:00,6.12,70.28,203.38,71.32
2000-01-01 18:54:00,4.05,65.13,147.89,70.62
2000-01-01 19:14:00,4.37,65.13,147.89,70.62
2000-01-01 19:38:00,20.80,62.02,10.99,64.94
2000-01-01 21:34:00,23.47,64.61,23.53,68.02
2000-01-01 22:11:00,0.07,64.61,23.53,68.02
2000-01-01 23:36:00,21.13,75.73,306.47,69.25
2000-01-02 03:55:00,21.17,71.27,265.95,61.11
2000-01-02 04:39:00,2.77,66.08,314.56,61.16
2000-01-02 06:43:00,22.51,67.67,248.07,60.03
2000-01-02 07:44:00,19.96,70.28,203.38,71.32
2000-01-02 10:21:00,6.75,72.90,291.48,63.75
2000-01-02 10:42:00,22.86,70.28,203.38,71.32
2000-01-02 14:34:00,21.84,72.01,104.28,77.72
2000-01-02 16:48:00,1.16,66.05,128.92,71.59
2000-01-02 18:19:00,6.07,70.28,203.38,71.32
2000-01-02 23:35:00,1.91,75.31,15.83,78.20
2000-01-03 00:32:00,2.48,66.11,23.70,69.46
2000-01-03 03:09:00,20.36,69.08,265.91,58.76
2000-01-03 03:36:00,19.27,77.23,254.97,69.12
2000-01-03 06:41:00,0.23,66.78,265.36,56.38
2000-01-03 07:20:00,22.83,69.53,245.52,62.48
2000-01-03 08:07:00,1.39,74.05,263.99,64.32
2000-01-03 10:25:00,22.55,70.28,203.38,71.32
2000-01-03 11:23:00,0.99,66.14,220.89,64.05
2000-01-03 14:28:00,20.43,68.69,80.70,73.53
2000-01-03 16:38:00,4.61,70.28,203.38,71.32
2000-01-03 18:29:00,2.62,66.05,128.92,71.59
2000-01-03 19:22:00,21.39,67.30,22.22,70.54
2000-01-03 19:42:00,21.84,71.50,19.20,74.50
2000-01-04 02:07:00,1.93,71.56,338.03,70.48
2000-01-04 05:36:00,23.01,71.27,265.95,61.11
2000-01-04 06:40:00,22.25,73.18,248.75,65.75
2000-01-04 07:03:00,22.66,73.18,248.75,65.75
2000-01-04 07:47:00,23.41,73.18,248.75,65.75
2000-01-04 08:27:00,0.04,73.18,248.75,65.75
2000-01-04 08:48:00,0.77,77.23,254.97,69.12
2000-01-04 10:50:00,4.35,66.78,265.36,56.38
2000-01-04 11:20:00,0.77,66.46,218.84,64.78
